date,product,category,quantity,unit_price,revenue
2024-01-02,USB Hub,Electronics,1,64.06,64.06
2024-01-02,Keyboard Mechanical,Electronics,4,218.97,875.88
2024-01-02,USB Hub,Furniture,2,763.45,1526.9
2024-01-02,Laptop Pro,Furniture,4,1198.29,4793.16
2024-01-02,Keyboard Mechanical,Furniture,3,308.64,925.93
2024-01-02,Headset Wireless,Accessories,1,497.18,497.18
2024-01-02,Office Chair,Furniture,4,1033.94,4135.76
2024-01-02,Laptop Pro,Furniture,2,175.41,350.81
2024-01-02,Office Chair,Accessories,2,119.6,239.19
2024-01-02,Standing Desk,Electronics,2,216.16,432.33
2024-01-02,Wireless Mouse,Accessories,2,193.84,387.69
2024-01-02,Office Chair,Electronics,4,756.6,3026.38
2024-01-02,Standing Desk,Electronics,5,291.93,1459.65
2024-01-02,USB Hub,Furniture,3,213.68,641.03
2024-01-03,Webcam HD,Accessories,3,422.29,1266.87
2024-01-03,Wireless Mouse,Furniture,5,365.61,1828.05
2024-01-03,Headset Wireless,Furniture,4,234.73,938.93
2024-01-03,Wireless Mouse,Accessories,2,975.49,1950.98
2024-01-03,Laptop Pro,Furniture,4,1066.54,4266.17
2024-01-03,Office Chair,Furniture,2,850.84,1701.67
2024-01-03,Monitor 4K,Electronics,2,999.89,1999.78
2024-01-03,Monitor 4K,Electronics,3,49.69,149.06
2024-01-03,Laptop Pro,Electronics,1,1055.87,1055.87
2024-01-03,Headset Wireless,Accessories,3,1138.6,3415.81
2024-01-03,Desk Lamp,Electronics,4,864.91,3459.65
2024-01-03,Webcam HD,Electronics,2,138.99,277.98
2024-01-03,Standing Desk,Accessories,1,244.07,244.07
2024-01-03,USB Hub,Furniture,1,263.68,263.68
2024-01-03,Headset Wireless,Accessories,3,38.59,115.78
2024-01-03,Office Chair,Accessories,5,39.92,199.6
2024-01-03,Wireless Mouse,Accessories,2,111.68,223.36
2024-01-03,Office Chair,Accessories,2,1100.05,2200.09
2024-01-03,Office Chair,Electronics,1,1110.53,1110.53
2024-01-03,Laptop Pro,Electronics,1,761.15,761.15
2024-01-03,Keyboard Mechanical,Furniture,4,571.54,2286.18
2024-01-03,Monitor 4K,Furniture,4,134.24,536.94
2024-01-03,Headset Wireless,Electronics,1,572.66,572.66
2024-01-03,Headset Wireless,Electronics,2,1137.85,2275.7
2024-01-03,Standing Desk,Accessories,2,1095.31,2190.63
2024-01-03,Keyboard Mechanical,Accessories,4,84.12,336.46
2024-01-03,Keyboard Mechanical,Furniture,3,147.92,443.75
2024-01-03,Laptop Pro,Accessories,1,814.27,814.27
2024-01-03,Standing Desk,Furniture,1,602.98,602.98
2024-01-03,Monitor 4K,Accessories,2,223.82,447.65
2024-01-03,Laptop Pro,Accessories,2,192.75,385.5
2024-01-03,Keyboard Mechanical,Electronics,1,823.94,823.94
2024-01-03,USB Hub,Furniture,3,655.17,1965.5
2024-01-03,USB Hub,Accessories,5,891.09,4455.47
2024-01-03,Desk Lamp,Electronics,1,259.64,259.64
2024-01-04,Monitor 4K,Accessories,5,177.3,886.49
2024-01-04,Wireless Mouse,Accessories,2,707.45,1414.9
2024-01-04,Webcam HD,Accessories,4,1156.43,4625.71
2024-01-04,Monitor 4K,Accessories,5,1041.36,5206.82
2024-01-04,Standing Desk,Accessories,5,172.14,860.72
2024-01-04,Office Chair,Furniture,5,671.86,3359.28
2024-01-04,Office Chair,Furniture,4,477.7,1910.81
2024-01-04,Standing Desk,Electronics,3,809.18,2427.55
2024-01-04,Monitor 4K,Electronics,4,747.71,2990.83
2024-01-04,USB Hub,Furniture,3,631.85,1895.55
2024-01-04,Keyboard Mechanical,Furniture,5,628.57,3142.87
2024-01-04,Standing Desk,Electronics,3,332.45,997.36
2024-01-04,Monitor 4K,Accessories,4,607.11,2428.43
2024-01-04,Monitor 4K,Electronics,2,157.52,315.04
2024-01-04,USB Hub,Accessories,1,629.17,629.17
2024-01-04,Webcam HD,Electronics,2,772.7,1545.39
2024-01-04,Monitor 4K,Furniture,1,700.27,700.27
2024-01-04,Monitor 4K,Electronics,4,334.24,1336.96
2024-01-04,Laptop Pro,Furniture,2,378.03,756.05
2024-01-04,Wireless Mouse,Furniture,5,274.03,1370.16
2024-01-04,Webcam HD,Furniture,2,991.45,1982.91
2024-01-04,Webcam HD,Furniture,5,132.24,661.19
2024-01-04,Standing Desk,Accessories,4,97.95,391.79
2024-01-04,Webcam HD,Furniture,2,398.88,797.77
2024-01-04,Wireless Mouse,Accessories,5,352.82,1764.12
2024-01-04,Laptop Pro,Accessories,5,524.58,2622.91
2024-01-04,Wireless Mouse,Accessories,4,1007.72,4030.89
2024-01-04,Laptop Pro,Electronics,2,34.88,69.76
2024-01-04,Monitor 4K,Accessories,1,68.71,68.71
2024-01-04,Monitor 4K,Accessories,2,1063.12,2126.23
2024-01-04,Monitor 4K,Electronics,5,614.5,3072.51
2024-01-04,Webcam HD,Accessories,4,219.43,877.71
2024-01-05,Keyboard Mechanical,Furniture,2,163.93,327.87
2024-01-05,Headset Wireless,Furniture,1,902.38,902.38
2024-01-05,Desk Lamp,Furniture,5,992.47,4962.35
2024-01-05,Keyboard Mechanical,Furniture,3,65.04,195.12
2024-01-05,Monitor 4K,Accessories,1,540.54,540.54
2024-01-05,Keyboard Mechanical,Electronics,4,436.33,1745.32
2024-01-05,Wireless Mouse,Furniture,2,29.17,58.34
2024-01-05,Wireless Mouse,Electronics,5,430.5,2152.51
2024-01-05,USB Hub,Accessories,2,988.21,1976.42
2024-01-05,Monitor 4K,Furniture,2,566.07,1132.14
2024-01-05,Desk Lamp,Electronics,1,365.7,365.7
2024-01-05,Keyboard Mechanical,Electronics,2,677.96,1355.91
2024-01-05,Headset Wireless,Furniture,1,245.2,245.2
2024-01-05,Webcam HD,Furniture,2,793.51,1587.02
2024-01-05,Headset Wireless,Electronics,4,814.06,3256.23
2024-01-05,Headset Wireless,Furniture,2,658.15,1316.29
2024-01-05,Webcam HD,Electronics,4,303.33,1213.31
2024-01-05,Standing Desk,Electronics,5,282.26,1411.31
2024-01-05,Desk Lamp,Accessories,4,1159.89,4639.57
2024-01-05,Laptop Pro,Furniture,4,1073.37,4293.46
2024-01-05,Monitor 4K,Electronics,1,241.23,241.23
2024-01-05,Standing Desk,Electronics,4,584.75,2339.02
2024-01-05,Office Chair,Electronics,3,675.24,2025.71
2024-01-05,Desk Lamp,Electronics,3,552.91,1658.72
2024-01-05,Wireless Mouse,Electronics,3,462.44,1387.31
2024-01-05,Headset Wireless,Furniture,2,642.51,1285.02
2024-01-05,Headset Wireless,Furniture,4,475.77,1903.09
2024-01-05,Monitor 4K,Accessories,5,937.63,4688.17
2024-01-05,Standing Desk,Furniture,3,96.09,288.26
2024-01-05,Office Chair,Electronics,5,711.36,3556.81
2024-01-05,Headset Wireless,Electronics,5,755.22,3776.1
2024-01-05,Office Chair,Electronics,5,933.31,4666.53
2024-01-05,Laptop Pro,Furniture,3,537.22,1611.67
2024-01-05,Headset Wireless,Furniture,4,1199.28,4797.14
2024-01-05,Office Chair,Electronics,1,445.33,445.33
2024-01-05,Office Chair,Electronics,2,756.55,1513.1
2024-01-05,Laptop Pro,Electronics,5,984.36,4921.78
2024-01-05,Wireless Mouse,Accessories,4,887.44,3549.75
2024-01-05,Monitor 4K,Accessories,3,153.94,461.81
2024-01-05,Wireless Mouse,Accessories,5,751.53,3757.65
2024-01-05,Office Chair,Furniture,2,381.0,761.99
2024-01-06,Keyboard Mechanical,Accessories,3,869.89,2609.66
2024-01-06,Desk Lamp,Accessories,5,127.63,638.13
2024-01-06,Wireless Mouse,Accessories,5,318.2,1591.0
2024-01-06,Webcam HD,Furniture,2,861.13,1722.26
2024-01-06,Standing Desk,Accessories,4,1198.73,4794.92
2024-01-06,Desk Lamp,Accessories,4,1104.9,4419.6
2024-01-06,USB Hub,Electronics,2,1098.31,2196.63
2024-01-06,Wireless Mouse,Electronics,1,1141.48,1141.48
2024-01-06,Monitor 4K,Electronics,3,70.58,211.75
2024-01-06,Monitor 4K,Accessories,5,26.78,133.89
2024-01-06,Headset Wireless,Furniture,3,780.69,2342.07
2024-01-06,Keyboard Mechanical,Furniture,4,502.41,2009.62
2024-01-06,USB Hub,Electronics,3,163.7,491.11
2024-01-06,Desk Lamp,Furniture,5,361.57,1807.84
2024-01-06,Monitor 4K,Furniture,5,1127.16,5635.79
2024-01-06,Wireless Mouse,Accessories,5,927.93,4639.67
2024-01-06,Wireless Mouse,Electronics,5,463.88,2319.4
2024-01-06,Office Chair,Accessories,4,1140.55,4562.18
2024-01-06,USB Hub,Furniture,4,779.29,3117.15
2024-01-06,Headset Wireless,Accessories,1,319.93,319.93
2024-01-06,Standing Desk,Electronics,1,927.42,927.42
2024-01-06,Desk Lamp,Electronics,3,778.86,2336.57
2024-01-06,Desk Lamp,Furniture,4,387.96,1551.83
2024-01-06,Wireless Mouse,Furniture,5,457.56,2287.8
2024-01-06,Headset Wireless,Electronics,2,1149.85,2299.71
2024-01-07,Monitor 4K,Electronics,1,1092.22,1092.22
2024-01-07,Keyboard Mechanical,Furniture,2,268.93,537.87
2024-01-07,Desk Lamp,Accessories,4,756.73,3026.91
2024-01-07,Wireless Mouse,Accessories,5,772.43,3862.17
2024-01-07,Headset Wireless,Furniture,1,636.78,636.78
2024-01-07,Webcam HD,Accessories,1,554.77,554.77
2024-01-07,Headset Wireless,Electronics,3,329.81,989.43
2024-01-07,Wireless Mouse,Accessories,1,622.83,622.83
2024-01-07,Standing Desk,Electronics,3,319.7,959.11
2024-01-07,Standing Desk,Accessories,2,39.75,79.49
2024-01-07,USB Hub,Furniture,2,900.82,1801.64
2024-01-07,Office Chair,Electronics,2,164.42,328.85
2024-01-07,Wireless Mouse,Furniture,1,352.57,352.57
2024-01-07,Standing Desk,Accessories,5,242.79,1213.94
2024-01-07,USB Hub,Furniture,4,482.9,1931.59
2024-01-07,USB Hub,Electronics,5,703.66,3518.31
2024-01-07,Headset Wireless,Electronics,2,822.33,1644.66
2024-01-07,Wireless Mouse,Accessories,3,757.22,2271.65
2024-01-07,Laptop Pro,Electronics,5,266.79,1333.93
2024-01-07,USB Hub,Furniture,2,778.29,1556.58
2024-01-07,Monitor 4K,Electronics,4,929.27,3717.07
2024-01-07,Laptop Pro,Furniture,2,42.9,85.8
2024-01-07,Keyboard Mechanical,Furniture,1,662.04,662.04
2024-01-07,Desk Lamp,Accessories,3,671.32,2013.96
2024-01-07,Wireless Mouse,Accessories,4,540.4,2161.6
2024-01-07,Monitor 4K,Furniture,3,612.06,1836.19
2024-01-07,Laptop Pro,Accessories,2,896.09,1792.17
2024-01-07,Office Chair,Electronics,3,1005.7,3017.09
2024-01-08,Office Chair,Furniture,5,1001.46,5007.31
2024-01-08,Desk Lamp,Accessories,5,686.52,3432.59
2024-01-08,Laptop Pro,Furniture,3,125.74,377.23
2024-01-08,Laptop Pro,Accessories,1,899.27,899.27
2024-01-08,Headset Wireless,Electronics,2,448.14,896.28
2024-01-08,Desk Lamp,Electronics,5,1190.27,5951.37
2024-01-08,Webcam HD,Accessories,2,824.53,1649.07
2024-01-08,Office Chair,Furniture,1,1128.49,1128.49
2024-01-08,Desk Lamp,Electronics,2,770.72,1541.43
2024-01-08,Desk Lamp,Accessories,5,769.57,3847.85
2024-01-08,Monitor 4K,Furniture,5,724.0,3619.99
2024-01-08,Laptop Pro,Furniture,4,309.27,1237.06
2024-01-08,Wireless Mouse,Furniture,1,1118.32,1118.32
2024-01-08,Office Chair,Accessories,4,700.83,2803.34
2024-01-08,Desk Lamp,Accessories,3,581.58,1744.73
2024-01-08,Keyboard Mechanical,Electronics,2,296.06,592.12
2024-01-08,Keyboard Mechanical,Accessories,5,518.19,2590.95
2024-01-08,Standing Desk,Accessories,2,107.03,214.05
2024-01-08,Keyboard Mechanical,Accessories,4,896.35,3585.39
2024-01-08,Keyboard Mechanical,Furniture,3,245.53,736.59
2024-01-08,Standing Desk,Furniture,1,111.94,111.94
2024-01-08,Wireless Mouse,Furniture,5,930.45,4652.25
2024-01-08,Keyboard Mechanical,Furniture,4,178.19,712.75
2024-01-08,Standing Desk,Electronics,1,78.13,78.13
2024-01-08,Headset Wireless,Furniture,2,984.01,1968.03
2024-01-08,Monitor 4K,Accessories,3,733.09,2199.26
2024-01-08,Webcam HD,Electronics,1,154.59,154.59
2024-01-08,Headset Wireless,Furniture,3,869.45,2608.34
2024-01-08,Headset Wireless,Electronics,5,889.85,4449.24
2024-01-08,Laptop Pro,Electronics,5,589.58,2947.9
2024-01-08,Headset Wireless,Furniture,2,575.2,1150.4
2024-01-08,USB Hub,Furniture,2,810.53,1621.06
2024-01-08,Laptop Pro,Furniture,2,106.13,212.26
2024-01-08,Laptop Pro,Accessories,5,320.01,1600.04
2024-01-08,USB Hub,Furniture,4,886.15,3544.58
2024-01-08,Desk Lamp,Electronics,2,869.85,1739.71
2024-01-08,Laptop Pro,Electronics,4,483.47,1933.9
2024-01-08,Wireless Mouse,Electronics,1,1118.15,1118.15
2024-01-08,USB Hub,Furniture,1,388.03,388.03
2024-01-08,Headset Wireless,Furniture,3,1130.25,3390.76
2024-01-08,USB Hub,Accessories,5,874.1,4370.5
2024-01-08,Office Chair,Accessories,3,704.02,2112.06
2024-01-08,Headset Wireless,Electronics,3,1132.02,3396.06
2024-01-08,Wireless Mouse,Accessories,1,917.15,917.15
2024-01-08,Wireless Mouse,Accessories,2,698.09,1396.17
2024-01-09,Standing Desk,Accessories,4,432.89,1731.57
2024-01-09,Keyboard Mechanical,Accessories,2,751.31,1502.62
2024-01-09,Wireless Mouse,Furniture,3,423.18,1269.55
2024-01-09,Desk Lamp,Accessories,1,249.4,249.4
2024-01-09,Desk Lamp,Furniture,1,699.15,699.15
2024-01-09,Keyboard Mechanical,Accessories,1,793.84,793.84
2024-01-09,Headset Wireless,Accessories,5,174.91,874.57
2024-01-09,Standing Desk,Electronics,2,672.22,1344.43
2024-01-09,Laptop Pro,Accessories,1,1023.97,1023.97
2024-01-09,Headset Wireless,Accessories,4,204.95,819.79
2024-01-09,Office Chair,Furniture,4,1078.71,4314.85
2024-01-09,Keyboard Mechanical,Electronics,1,567.5,567.5
2024-01-09,USB Hub,Accessories,5,50.82,254.1
2024-01-09,Headset Wireless,Furniture,3,398.74,1196.21
2024-01-09,Monitor 4K,Accessories,1,1196.42,1196.42
2024-01-09,Wireless Mouse,Accessories,2,886.73,1773.47
2024-01-09,Standing Desk,Accessories,4,560.01,2240.02
2024-01-09,Wireless Mouse,Accessories,5,293.74,1468.68
2024-01-09,Webcam HD,Electronics,3,1011.1,3033.29
2024-01-09,Monitor 4K,Furniture,1,258.88,258.88
2024-01-09,Webcam HD,Electronics,5,434.37,2171.85
2024-01-09,Webcam HD,Accessories,3,824.0,2472.0
2024-01-09,Wireless Mouse,Furniture,5,1084.11,5420.56
2024-01-09,Headset Wireless,Furniture,4,653.28,2613.13
2024-01-09,Webcam HD,Accessories,5,1198.3,5991.51
2024-01-09,Laptop Pro,Furniture,5,632.81,3164.05
2024-01-09,Keyboard Mechanical,Electronics,2,1044.79,2089.58
2024-01-09,Headset Wireless,Accessories,2,1074.69,2149.39
2024-01-09,Laptop Pro,Accessories,2,1158.1,2316.19
2024-01-09,Headset Wireless,Electronics,1,223.99,223.99
2024-01-09,Desk Lamp,Accessories,5,79.55,397.73
2024-01-09,Standing Desk,Accessories,4,28.82,115.26
2024-01-09,Monitor 4K,Furniture,4,1119.4,4477.59
2024-01-09,Keyboard Mechanical,Accessories,2,921.26,1842.53
2024-01-09,Monitor 4K,Accessories,4,1189.83,4759.31
2024-01-10,USB Hub,Electronics,5,774.45,3872.27
2024-01-10,Headset Wireless,Furniture,2,1045.95,2091.9
2024-01-10,Desk Lamp,Electronics,2,874.43,1748.85
2024-01-10,Desk Lamp,Furniture,4,230.33,921.32
2024-01-10,USB Hub,Furniture,3,538.24,1614.72
2024-01-10,USB Hub,Electronics,1,452.0,452.0
2024-01-10,USB Hub,Furniture,3,537.41,1612.24
2024-01-10,Desk Lamp,Furniture,4,189.79,759.17
2024-01-10,Monitor 4K,Furniture,4,402.46,1609.84
2024-01-10,Keyboard Mechanical,Electronics,5,323.53,1617.64
2024-01-10,Office Chair,Furniture,2,816.23,1632.47
2024-01-10,Desk Lamp,Furniture,3,214.98,644.95
2024-01-10,Laptop Pro,Electronics,2,112.17,224.33
2024-01-10,Office Chair,Accessories,4,129.59,518.36
2024-01-10,Wireless Mouse,Accessories,1,567.11,567.11
2024-01-10,Headset Wireless,Furniture,1,903.46,903.46
2024-01-10,Office Chair,Furniture,1,432.7,432.7
2024-01-10,Webcam HD,Furniture,3,454.71,1364.14
2024-01-10,Standing Desk,Accessories,3,790.88,2372.65
2024-01-10,Office Chair,Accessories,1,42.48,42.48
2024-01-10,USB Hub,Electronics,4,192.61,770.44
2024-01-10,Webcam HD,Electronics,1,1063.33,1063.33
2024-01-10,Wireless Mouse,Electronics,3,719.08,2157.24
2024-01-10,USB Hub,Accessories,3,378.29,1134.87
2024-01-10,Keyboard Mechanical,Furniture,5,356.82,1784.1
2024-01-10,Laptop Pro,Furniture,1,309.73,309.73
2024-01-10,Standing Desk,Furniture,1,293.64,293.64
2024-01-10,Keyboard Mechanical,Furniture,1,597.07,597.07
2024-01-10,Wireless Mouse,Furniture,4,1058.42,4233.66
2024-01-10,Keyboard Mechanical,Accessories,5,614.05,3070.23
2024-01-10,Headset Wireless,Electronics,5,433.04,2165.19
2024-01-10,Desk Lamp,Furniture,5,767.63,3838.17
2024-01-10,Headset Wireless,Accessories,2,676.5,1353.0
2024-01-10,Standing Desk,Furniture,5,164.97,824.86
2024-01-10,Monitor 4K,Electronics,5,33.53,167.63
2024-01-10,Webcam HD,Accessories,3,331.69,995.06
2024-01-11,Laptop Pro,Accessories,5,980.02,4900.08
2024-01-11,Monitor 4K,Electronics,4,501.63,2006.51
2024-01-11,Standing Desk,Furniture,1,1152.02,1152.02
2024-01-11,Laptop Pro,Electronics,3,1077.85,3233.56
2024-01-11,Laptop Pro,Electronics,1,782.37,782.37
2024-01-11,Monitor 4K,Furniture,4,554.0,2216.01
2024-01-11,Desk Lamp,Furniture,2,1006.98,2013.97
2024-01-11,Headset Wireless,Furniture,1,401.45,401.45
2024-01-11,USB Hub,Electronics,3,811.05,2433.14
2024-01-11,Keyboard Mechanical,Accessories,5,30.72,153.61
2024-01-11,Office Chair,Furniture,2,324.63,649.26
2024-01-11,Keyboard Mechanical,Furniture,3,785.95,2357.86
2024-01-11,Desk Lamp,Furniture,4,404.54,1618.15
2024-01-11,USB Hub,Accessories,5,527.68,2638.38
2024-01-11,Headset Wireless,Accessories,4,144.96,579.84
2024-01-11,Desk Lamp,Electronics,2,933.25,1866.51
2024-01-11,Desk Lamp,Electronics,5,1156.8,5783.99
2024-01-11,USB Hub,Electronics,1,604.17,604.17
2024-01-11,Keyboard Mechanical,Furniture,3,1004.93,3014.8
2024-01-11,Wireless Mouse,Furniture,3,1027.69,3083.06
2024-01-11,Wireless Mouse,Accessories,1,546.34,546.34
2024-01-11,USB Hub,Furniture,2,243.35,486.69
2024-01-11,Webcam HD,Accessories,2,276.7,553.41
2024-01-11,Webcam HD,Electronics,4,79.13,316.5
2024-01-11,Headset Wireless,Furniture,1,888.13,888.13
2024-01-12,Wireless Mouse,Accessories,4,1178.08,4712.34
2024-01-12,Office Chair,Furniture,1,1177.15,1177.15
2024-01-12,Keyboard Mechanical,Furniture,4,641.13,2564.54
2024-01-12,USB Hub,Electronics,3,805.63,2416.89
2024-01-12,Keyboard Mechanical,Accessories,3,1128.74,3386.22
2024-01-12,Wireless Mouse,Electronics,3,803.91,2411.72
2024-01-12,Keyboard Mechanical,Electronics,2,700.42,1400.83
2024-01-12,Desk Lamp,Furniture,5,553.02,2765.12
2024-01-12,Desk Lamp,Furniture,1,401.33,401.33
2024-01-12,Laptop Pro,Furniture,2,239.02,478.04
2024-01-12,Standing Desk,Accessories,1,269.77,269.77
2024-01-12,Standing Desk,Accessories,5,72.43,362.14
2024-01-12,Monitor 4K,Electronics,2,189.13,378.26
2024-01-12,Monitor 4K,Electronics,3,867.27,2601.81
2024-01-12,Monitor 4K,Electronics,4,478.63,1914.53
2024-01-12,Wireless Mouse,Electronics,1,340.1,340.1
2024-01-12,Standing Desk,Accessories,1,1191.34,1191.34
2024-01-12,Desk Lamp,Furniture,1,267.8,267.8
2024-01-12,Laptop Pro,Accessories,3,166.95,500.84
2024-01-12,Office Chair,Electronics,4,530.97,2123.86
2024-01-12,Standing Desk,Accessories,4,671.03,2684.12
2024-01-12,Monitor 4K,Furniture,5,440.4,2202.0
2024-01-12,Standing Desk,Accessories,2,631.86,1263.71
2024-01-12,USB Hub,Furniture,3,272.78,818.34
2024-01-12,Monitor 4K,Electronics,5,341.23,1706.13
2024-01-12,Webcam HD,Furniture,3,189.64,568.92
2024-01-12,USB Hub,Electronics,5,869.99,4349.95
2024-01-12,Desk Lamp,Electronics,5,419.91,2099.56
2024-01-12,Laptop Pro,Furniture,4,473.33,1893.33
2024-01-12,Laptop Pro,Accessories,4,566.41,2265.66
2024-01-12,Wireless Mouse,Accessories,4,30.77,123.09
2024-01-12,Desk Lamp,Accessories,1,913.17,913.17
2024-01-12,Desk Lamp,Accessories,5,689.74,3448.68
2024-01-12,Wireless Mouse,Furniture,1,662.82,662.82
2024-01-13,Webcam HD,Furniture,4,886.08,3544.33
2024-01-13,Office Chair,Furniture,4,613.61,2454.45
2024-01-13,Standing Desk,Accessories,4,559.04,2236.16
2024-01-13,Wireless Mouse,Accessories,5,1127.14,5635.69
2024-01-13,Monitor 4K,Furniture,1,685.44,685.44
2024-01-13,Headset Wireless,Accessories,1,247.15,247.15
2024-01-13,Wireless Mouse,Accessories,2,818.91,1637.82
2024-01-13,USB Hub,Furniture,3,808.91,2426.73
2024-01-13,Webcam HD,Furniture,4,755.0,3020.01
2024-01-13,Laptop Pro,Furniture,3,853.96,2561.88
2024-01-13,USB Hub,Electronics,1,906.69,906.69
2024-01-13,Laptop Pro,Accessories,4,934.01,3736.06
2024-01-13,Desk Lamp,Accessories,1,586.43,586.43
2024-01-13,Standing Desk,Electronics,1,172.22,172.22
2024-01-13,Laptop Pro,Furniture,2,192.15,384.29
2024-01-13,USB Hub,Accessories,3,387.3,1161.89
2024-01-13,USB Hub,Furniture,4,764.55,3058.2
2024-01-13,Headset Wireless,Electronics,1,1091.18,1091.18
2024-01-13,Keyboard Mechanical,Furniture,4,802.7,3210.81
2024-01-13,Keyboard Mechanical,Electronics,5,985.86,4929.29
2024-01-13,Laptop Pro,Electronics,2,911.88,1823.76
2024-01-13,Webcam HD,Electronics,3,954.82,2864.47
2024-01-13,Office Chair,Electronics,3,687.01,2061.03
2024-01-13,Standing Desk,Electronics,4,1138.92,4555.67
2024-01-13,Headset Wireless,Accessories,4,98.46,393.85
2024-01-13,Office Chair,Furniture,1,1135.28,1135.28
2024-01-13,Keyboard Mechanical,Furniture,5,151.14,755.68
2024-01-13,Laptop Pro,Electronics,5,431.44,2157.18
2024-01-13,Laptop Pro,Accessories,4,848.99,3395.95
2024-01-13,Desk Lamp,Accessories,4,884.23,3536.93
2024-01-14,Monitor 4K,Accessories,3,1163.31,3489.94
2024-01-14,Wireless Mouse,Electronics,5,340.39,1701.97
2024-01-14,Monitor 4K,Furniture,3,374.99,1124.98
2024-01-14,Office Chair,Electronics,1,815.97,815.97
2024-01-14,Desk Lamp,Furniture,5,1110.31,5551.53
2024-01-14,Keyboard Mechanical,Furniture,3,312.44,937.32
2024-01-14,Standing Desk,Furniture,2,684.39,1368.77
2024-01-14,Keyboard Mechanical,Electronics,3,1160.43,3481.3
2024-01-14,Monitor 4K,Accessories,1,162.21,162.21
2024-01-14,Wireless Mouse,Furniture,1,323.38,323.38
2024-01-14,Laptop Pro,Accessories,5,790.68,3953.41
2024-01-14,USB Hub,Electronics,5,1198.75,5993.76
2024-01-14,Keyboard Mechanical,Accessories,3,1122.58,3367.73
2024-01-14,USB Hub,Accessories,5,810.68,4053.39
2024-01-14,Standing Desk,Accessories,1,465.04,465.04
2024-01-14,Monitor 4K,Accessories,2,1123.04,2246.08
2024-01-14,Wireless Mouse,Electronics,3,444.0,1331.99
2024-01-14,Headset Wireless,Electronics,1,474.41,474.41
2024-01-14,Laptop Pro,Electronics,3,816.76,2450.27
2024-01-14,Headset Wireless,Furniture,3,871.22,2613.65
2024-01-14,USB Hub,Electronics,5,561.86,2809.3
2024-01-14,Office Chair,Electronics,4,122.89,491.56
2024-01-15,Headset Wireless,Accessories,1,146.58,146.58
2024-01-15,Keyboard Mechanical,Accessories,4,773.76,3095.05
2024-01-15,Wireless Mouse,Furniture,5,778.53,3892.64
2024-01-15,Keyboard Mechanical,Electronics,1,478.46,478.46
2024-01-15,Desk Lamp,Furniture,5,594.72,2973.58
2024-01-15,Desk Lamp,Accessories,2,944.99,1889.97
2024-01-15,Webcam HD,Electronics,3,155.01,465.02
2024-01-15,Office Chair,Furniture,5,930.91,4654.57
2024-01-15,Headset Wireless,Furniture,4,707.27,2829.09
2024-01-15,Headset Wireless,Accessories,4,1063.11,4252.44
2024-01-15,Wireless Mouse,Electronics,5,733.37,3666.87
2024-01-15,Desk Lamp,Furniture,2,956.15,1912.29
2024-01-15,Office Chair,Furniture,1,188.77,188.77
2024-01-15,Headset Wireless,Accessories,5,266.55,1332.73
2024-01-15,Monitor 4K,Furniture,5,719.38,3596.88
2024-01-15,Laptop Pro,Electronics,1,954.84,954.84
